"track","artist","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","explicit"
"Funny Familiar Forgotten Feelings",181,"4j3BX19jfJpCrBoCFaSxNB",0.452,0.403,11,0.6845,1,0.0277,0.667,0,0.135,0.446,0.3983,0.0912,3,0.084,11,1,0
"Ching Miau - Rudy Van Gelder Remaster",44,"6oarR9NsZJOlYxDi17S9iS",0.266,0.33,7,0.6373,0,0.0377,0.456,0,0.183,0.313,0.1587,0.1018,4,0.1395,7,0,0
"My Yiddische Momme",184,"567X9aarO9aWg3c7nJAjNu",0.294,0.316,7,0.7059,0,0.0258,0.796,0.246,0.434,0.2,0.3777,0.1169,4,0.2978,10,0,0
"YOUR HEAD IS REELING",185,"58ld9nKbXWNKB0kc01bKii",0.472,0.508,9,0.7312,0,0.0396,0.757,0.159,0.38,0.469,0.5509,0.1153,4,0.1233,11,0,0
"West Side Story: Act II: I Feel Pretty",189,"4JCBnb6zviWQjtlhxUgtis",0.71,0.35,5,0.6833,1,0.0989,0.805,0,0.0788,0.55,0.514,0.115,3,0.1374,11,0,0
"Little Darling, I Need You",40,"4oNfPaPE8CZpJZ1m9xJovG",0.741,0.602,0,0.6939,1,0.0374,0.26,0,0.0951,0.837,0.5984,0.0771,4,0.1579,7,1,0
"Traigo El Coco Seco",98,"3zIhbxhohAKaqzd81BL9dZ",0.535,0.874,4,0.7965,0,0.0529,0.869,0.0519,0.223,0.944,0.5809,0.0985,4,0.2082,8,0,0
"La saison des pluies",2,"1eD4uGi3rUuA7r3NjLejqG",0.617,0.0386,10,0.3619,0,0.0411,0.922,0.0389,0.102,0.277,0.5368,0.1104,4,0.093,10,0,0
"Llanto De Luna",38,"1kj7zHhEZWh3SBUoLLqeJ8",0.326,0.457,4,0.7434,0,0.0287,0.555,0,0.389,0.378,0.4134,0.0729,4,0.1336,9,0,0
"Hey Little Cobra",192,"5LV5LgYnApxTF0BoZ3cDye",0.563,0.754,6,0.7589,1,0.0676,0.531,0,0.379,0.918,0.7206,0.0553,4,0.1404,8,1,0
"Rowdy",193,"4vIn9ecAvhj5OLzkBD9Ius",0.512,0.398,6,0.7344,1,0.0269,0.805,0.0043,0.218,0.425,0.3938,0.0841,4,0.0771,9,0,0
"It Won't Be Wrong",195,"46uLYXCBGVCkAFLV6YH2PQ",0.496,0.701,9,0.7145,1,0.0401,0.295,1e-04,0.202,0.86,0.5665,0.054,4,0.1607,6,1,0
"California Dreamin'",196,"4s6LhHAV5SEsOV0lC2tjvJ",0.552,0.608,1,0.7084,0,0.0345,0.352,0,0.0533,0.637,0.5169,0.0817,4,0.1939,7,1,0
"Remember When",198,"1Hk25057O1SKKJAMRcJvjX",0.593,0.363,5,0.6229,1,0.0345,0.811,0,0.212,0.783,0.6058,0.0653,4,0.0927,7,1,0
"That Old Black Magic",199,"7K5CKprjeXQTbe1tw4eAOh",0.475,0.831,8,0.7792,1,0.318,0.59,0,0.386,0.731,0.8163,0.0707,4,0.1854,7,1,0
"Puñalada Trapera",190,"4IicxO8GF243qa1B2odL9e",0.503,0.196,7,0.6079,1,0.0644,0.773,0,0.677,0.707,0.3708,0.091,4,0.164,9,0,0
"Acompáñame",29,"3puWDsQy9x6GLKQMJjcrlj",0.38,0.286,10,0.6242,0,0.029,0.671,0,0.106,0.426,0.4771,0.1065,4,0.1117,12,0,0
"Saturday Night At The Movies",204,"0jrdWPwYjUZvqfJcwE8ddh",0.708,0.544,6,0.7603,1,0.0503,0.646,0,0.121,0.923,0.6221,0.0763,4,0.1359,7,1,0
"Bill Bailey, Won't You Please Come Home",207,"43KOEciQpZGMVrBsUoPkVk",0.604,0.541,5,0.7324,0,0.0634,0.371,0,0.808,0.744,0.6085,0.1074,4,0.1371,9,1,0
"The Drum Thing",209,"57QRhtr9t1ZJug8HFygb3g",0.472,0.454,0,0.5591,0,0.05,0.776,0.859,0.111,0.387,0.5262,0.2565,4,0.132,17,0,0
"Come Back Silly Girl",210,"4QkvXIZGRmR2k7yduFFj9L",0.408,0.364,7,0.6016,1,0.0277,0.665,0.0086,0.301,0.429,0.4436,0.0724,4,0.1149,9,1,0
"Foggy Mountain Breakdown",212,"29qFlNOssruDfoEN8vN2Uu",0.407,0.479,2,0.6008,1,0.0329,0.191,0.901,0.352,0.919,0.7141,0.068,4,0.1011,8,1,0
"Carolina",215,"3NNV7VTez7EUR23ONFiiGl",0.518,0.5,4,0.7202,1,0.0289,0.36,0,0.345,0.618,0.5823,0.0797,1,0.1201,8,0,0
"Daydream Believer",217,"7uEcCGtM1FBBGIhPozhJjv",0.51,0.488,7,0.6973,1,0.0304,0.256,0,0.11,0.649,0.5781,0.0924,4,0.1656,9,1,0
"I Got You Babe",220,"4SGBuq37Ol4HJr7pQqFMKa",0.629,0.795,6,0.7896,1,0.0278,0.136,0,0.132,0.6,0.5087,0.0989,3,0.1098,12,1,0
"My Lover's Prayer",221,"23DITgKYutJaurSN3EAZ2Z",0.688,0.224,9,0.6269,1,0.0466,0.847,1e-04,0.3,0.522,0.5679,0.0995,3,0.1753,10,1,0
"La Luna Siempre Es Muy Linda",53,"5JPqN3xVhiuxmBBEdz4f6e",0.636,0.275,10,0.6332,1,0.0597,0.89,0,0.126,0.343,0.3216,0.1116,4,0.1322,11,0,0
"You Don't Own Me",223,"7ngRS53kqxLcEt9Pythc5d",0.473,0.434,2,0.7034,1,0.0257,0.701,0,0.628,0.711,0.4361,0.074,3,0.1027,10,1,0
"Over Under Sideways Down",225,"07KYQySlrmE94gaLbhvp4X",0.529,0.861,11,0.6913,1,0.0784,0.292,0.225,0.314,0.387,0.444,0.0693,4,0.1159,8,1,0
"Jane, Jane, Jane",226,"677oYgkn4m90Zvq4lQH2B8",0.548,0.421,0,0.6896,1,0.0362,0.44,0,0.363,0.831,0.666,0.0704,4,0.1619,7,1,0
"Ennai Padavaithavan Oruvan",5,"40CxvqbXtDI8uBDesDsDD9",0.526,0.442,5,0.7901,1,0.0435,0.992,0.0032,0.274,0.752,0.5639,0.1073,4,0.1532,8,0,0
"At The Scene",228,"0yYUeEc8Wp7c5pHPvDbRTO",0.607,0.67,0,0.7278,1,0.0448,0.0102,0,0.076,0.907,0.5847,0.0502,4,0.1403,6,1,0
"Guantanamera",4,"6bNZH4O72jD4L5hga6DwHj",0.734,0.458,10,0.7212,1,0.0585,0.844,1e-04,0.354,0.9,0.6449,0.0897,4,0.1251,11,0,0
"Penny Lane",27,"1h04XMpzGzmAudoI6VHBgA",0.651,0.488,9,0.7422,1,0.0316,0.212,0.026,0.136,0.49,0.52,0.0932,4,0.0696,11,1,0
"Try A Little Kindness",232,"2VYF84ZzEofEYYg0cCxETc",0.323,0.666,4,0.7916,1,0.0335,0.31,0,0.163,0.734,0.8117,0.0717,4,0.1267,7,1,0
"Viva Mi Desgracia",136,"05qUkjNOBNrgHAodze1O7d",0.435,0.315,5,0.6808,1,0.0397,0.742,0,0.111,0.242,0.3271,0.1087,4,0.1977,7,0,0
"She Comes Running - 2007 Remaster",245,"70esU3WzDttjZk0l1uFCEe",0.393,0.395,4,0.6115,1,0.0284,0.725,0.282,0.264,0.498,0.4742,0.0634,4,0.1101,8,0,0
"Cleo's Mood",39,"43YABWyEDz7auf9nW9j9hf",0.726,0.401,3,0.7572,0,0.0323,0.782,0.323,0.168,0.852,0.4898,0.0814,4,0.2738,5,1,0
