"track","artist","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","explicit"
"Baby It's You",158,"2KSwmLHkgjZCE49YFkgspo",0.595,0.471,1,-10.626,0,0.0295,0.0156,0.127,0.173,0.707,95.417,207613,4,32.21417,10,1,0
"I've Gotta Get A Message To You",160,"4xCVHlmzEyIn1t4gXYsMaf",0.441,0.596,2,-6.327,0,0.0281,0.037,4.46e-06,0.172,0.497,83.411,177440,4,34.8822,9,1,0
"If Ever I Would Leave You - Rudy Van Gelder Edition/Digital Remaster/24 Bit Mastering/1998",161,"2DPcK58j3Zms6ybVIKSIIY",0.497,0.19,10,-11.957,1,0.0342,0.98,0.908,0.0993,0.349,117.05,309267,4,20.50086,18,0,0
"Yambu - Live",38,"17IchaXyxW1zHe4amKDlCv",0.459,0.61,9,-8.231,1,0.133,0.764,2.91e-06,0.11,0.865,202.036,257960,4,32.63404,12,0,0
"You Never Can Tell",162,"6FT83pFXKhDlXDsNJFAHWz",0.525,0.852,7,-9.519,1,0.222,0.731,5.11e-05,0.218,0.884,157.404,161907,4,27.64298,12,1,0
"Trust Us - Take 9",139,"4PM34EaMQL28lTA0A95ZXu",0.424,0.583,7,-9.617,0,0.0483,0.14,0.539,0.108,0.444,86.036,441467,4,27.34131,16,0,0
"I Heard It Through The Grapevine",40,"1tqT6DhmsrtQgyCKUwotiw",0.711,0.362,3,-10.851,0,0.0382,0.272,0,0.127,0.615,117.267,194293,4,39.45121,10,1,0
"Barocco",117,"1LSyCTU4wMxMtSmmA2mF8j",0.201,0.178,9,-16.461,0,0.0334,0.916,0.906,0.0565,0.0519,80.312,343973,4,53.46055,17,0,0
"L'amore Dice Ciao (Main Titles)",170,"03KBBkHF2vaeRol4Qt3ccX",0.254,0.183,5,-13.423,1,0.0356,0.568,0.03,0.0952,0.289,183.713,192467,4,22.53801,10,0,0
"On Your Own Again",23,"3EfSO1aKk4QDOrZhGjnTlq",0.433,0.106,6,-19.138,0,0.0364,0.825,9.2e-05,0.108,0.184,143.096,104933,4,32.90564,6,0,0
"I'm the Urban Spaceman - 2007 Remaster",177,"0QWAOOFV9lsnC7fYHeSycS",0.63,0.525,2,-11.154,1,0.0269,0.156,2.09e-05,0.369,0.931,89.738,146133,4,30.7508,10,0,0
"Cycles",178,"6DjRrgnIppWgyccDDEFAqe",0.477,0.148,1,-22.719,1,0.038,0.903,0.000376,0.111,0.291,128.251,190373,3,23.38268,13,1,0
"Give It Up Or Turnit A Loose",180,"5TQcUuSZ9VUXCxGdVj7VxO",0.703,0.88,11,-7.133,0,0.0608,0.00964,0.456,0.111,0.743,114.763,369960,4,93.84427,10,1,0
"Funny Familiar Forgotten Feelings",181,"4j3BX19jfJpCrBoCFaSxNB",0.452,0.403,11,-10.898,1,0.0277,0.667,0,0.135,0.446,86.58,177707,3,22.05268,11,1,0
"Ching Miau - Rudy Van Gelder Remaster",44,"6oarR9NsZJOlYxDi17S9iS",0.266,0.33,7,-13.088,0,0.0377,0.456,4.75e-05,0.183,0.313,34.496,194693,4,36.62393,7,0,0
"My Yiddische Momme",184,"567X9aarO9aWg3c7nJAjNu",0.294,0.316,7,-9.903,0,0.0258,0.796,0.246,0.434,0.2,82.121,218920,4,78.21838,10,0,0
"YOUR HEAD IS REELING",185,"58ld9nKbXWNKB0kc01bKii",0.472,0.508,9,-8.73,0,0.0396,0.757,0.159,0.38,0.469,119.773,216347,4,32.38253,11,0,0
"West Side Story: Act II: I Feel Pretty",189,"4JCBnb6zviWQjtlhxUgtis",0.71,0.35,5,-10.952,1,0.0989,0.805,0,0.0788,0.55,111.743,215960,3,36.08054,11,0,0
"Little Darling, I Need You",40,"4oNfPaPE8CZpJZ1m9xJovG",0.741,0.602,0,-10.458,1,0.0374,0.26,0,0.0951,0.837,130.1,155027,4,41.46711,7,1,0
"Traigo El Coco Seco",98,"3zIhbxhohAKaqzd81BL9dZ",0.535,0.874,4,-5.698,0,0.0529,0.869,0.0519,0.223,0.944,126.294,189434,4,54.67636,8,0,0
"La saison des pluies",2,"1eD4uGi3rUuA7r3NjLejqG",0.617,0.0386,10,-25.867,0,0.0411,0.922,0.0389,0.102,0.277,116.689,208493,4,24.41349,10,0,0
"Llanto De Luna",38,"1kj7zHhEZWh3SBUoLLqeJ8",0.326,0.457,4,-8.162,0,0.0287,0.555,2.05e-06,0.389,0.378,89.877,148213,4,35.07673,9,0,0
"Hey Little Cobra",192,"5LV5LgYnApxTF0BoZ3cDye",0.563,0.754,6,-7.442,1,0.0676,0.531,0,0.379,0.918,156.664,119960,4,36.87763,8,1,0
"Rowdy",193,"4vIn9ecAvhj5OLzkBD9Ius",0.512,0.398,6,-8.581,1,0.0269,0.805,0.00434,0.218,0.425,85.61,166307,4,20.23604,9,0,0
"It Won't Be Wrong",195,"46uLYXCBGVCkAFLV6YH2PQ",0.496,0.701,9,-9.506,1,0.0401,0.295,0.000111,0.202,0.86,123.148,117893,4,42.21502,6,1,0
"California Dreamin'",196,"4s6LhHAV5SEsOV0lC2tjvJ",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,162373,4,50.92597,7,1,0
"Remember When",198,"1Hk25057O1SKKJAMRcJvjX",0.593,0.363,5,-13.757,1,0.0345,0.811,0,0.212,0.783,131.7,136067,4,24.3469,7,1,0
"That Old Black Magic",199,"7K5CKprjeXQTbe1tw4eAOh",0.475,0.831,8,-6.502,1,0.318,0.59,0,0.386,0.731,177.452,144707,4,48.69441,7,1,0
"Puñalada Trapera",190,"4IicxO8GF243qa1B2odL9e",0.503,0.196,7,-14.449,1,0.0644,0.773,0,0.677,0.707,80.602,177400,4,43.0622,9,0,0
"Acompáñame",29,"3puWDsQy9x6GLKQMJjcrlj",0.38,0.286,10,-13.694,0,0.029,0.671,0,0.106,0.426,103.722,202160,4,29.33468,12,0,0
"Saturday Night At The Movies",204,"0jrdWPwYjUZvqfJcwE8ddh",0.708,0.544,6,-7.377,1,0.0503,0.646,0,0.121,0.923,135.241,153627,4,35.69264,7,1,0
"Bill Bailey, Won't You Please Come Home",207,"43KOEciQpZGMVrBsUoPkVk",0.604,0.541,5,-8.676,0,0.0634,0.371,0,0.808,0.744,132.284,203627,4,36.00968,9,1,0
"The Drum Thing",209,"57QRhtr9t1ZJug8HFygb3g",0.472,0.454,0,-16.715,0,0.05,0.776,0.859,0.111,0.387,114.392,443200,4,34.65782,17,0,0
"Come Back Silly Girl",210,"4QkvXIZGRmR2k7yduFFj9L",0.408,0.364,7,-14.743,1,0.0277,0.665,0.00862,0.301,0.429,96.429,147493,4,30.16817,9,1,0
"Foggy Mountain Breakdown",212,"29qFlNOssruDfoEN8vN2Uu",0.407,0.479,2,-14.781,1,0.0329,0.191,0.901,0.352,0.919,155.252,140413,4,26.5629,8,1,0
"Carolina",215,"3NNV7VTez7EUR23ONFiiGl",0.518,0.5,4,-9.242,1,0.0289,0.36,4.91e-06,0.345,0.618,126.595,159133,1,31.52888,8,0,0
"Daydream Believer",217,"7uEcCGtM1FBBGIhPozhJjv",0.51,0.488,7,-10.304,1,0.0304,0.256,0,0.11,0.649,125.683,179613,4,43.48787,9,1,0
"I Got You Babe",220,"4SGBuq37Ol4HJr7pQqFMKa",0.629,0.795,6,-6.02,1,0.0278,0.136,5.44e-06,0.132,0.6,110.583,190080,3,28.82459,12,1,0
"My Lover's Prayer",221,"23DITgKYutJaurSN3EAZ2Z",0.688,0.224,9,-13.569,1,0.0466,0.847,6.56e-05,0.3,0.522,123.452,191053,3,46.02772,10,1,0
"La Luna Siempre Es Muy Linda",53,"5JPqN3xVhiuxmBBEdz4f6e",0.636,0.275,10,-13.279,1,0.0597,0.89,1.82e-05,0.126,0.343,69.915,210400,4,34.70865,11,0,0
"You Don't Own Me",223,"7ngRS53kqxLcEt9Pythc5d",0.473,0.434,2,-10.02,1,0.0257,0.701,0,0.628,0.711,94.815,150000,3,26.96711,10,1,0
"Over Under Sideways Down",225,"07KYQySlrmE94gaLbhvp4X",0.529,0.861,11,-10.581,1,0.0784,0.292,0.225,0.314,0.387,96.52,142507,4,30.42861,8,1,0
"Jane, Jane, Jane",226,"677oYgkn4m90Zvq4lQH2B8",0.548,0.421,0,-10.66,1,0.0362,0.44,0,0.363,0.831,144.778,144267,4,42.51936,7,1,0
"Ennai Padavaithavan Oruvan",5,"40CxvqbXtDI8uBDesDsDD9",0.526,0.442,5,-5.994,1,0.0435,0.992,0.00318,0.274,0.752,122.579,203453,4,40.23778,8,0,0
"At The Scene",228,"0yYUeEc8Wp7c5pHPvDbRTO",0.607,0.67,0,-8.887,1,0.0448,0.0102,0,0.076,0.907,127.101,111733,4,36.8496,6,1,0
"Guantanamera",4,"6bNZH4O72jD4L5hga6DwHj",0.734,0.458,10,-9.193,1,0.0585,0.844,0.00015,0.354,0.9,140.2,175240,4,32.86039,11,0,0
"Penny Lane",27,"1h04XMpzGzmAudoI6VHBgA",0.651,0.488,9,-8.22,1,0.0316,0.212,0.026,0.136,0.49,113.038,180893,4,18.27563,11,1,0
"Try A Little Kindness",232,"2VYF84ZzEofEYYg0cCxETc",0.323,0.666,4,-5.925,1,0.0335,0.31,0,0.163,0.734,176.455,146293,4,33.27774,7,1,0
"Viva Mi Desgracia",136,"05qUkjNOBNrgHAodze1O7d",0.435,0.315,5,-11.066,1,0.0397,0.742,0,0.111,0.242,71.1,205800,4,51.9084,7,0,0
"She Comes Running - 2007 Remaster",245,"70esU3WzDttjZk0l1uFCEe",0.393,0.395,4,-14.285,1,0.0284,0.725,0.282,0.264,0.498,103.089,133040,4,28.9181,8,0,0
"Cleo's Mood",39,"43YABWyEDz7auf9nW9j9hf",0.726,0.401,3,-7.524,0,0.0323,0.782,0.323,0.168,0.852,106.476,161973,4,71.89978,5,1,0
"Cantando",136,"4meu4kLwTw5PiR43PSU9c9",0.475,0.344,7,-6.096,1,0.0294,0.762,0,0.0697,0.663,105.634,168533,3,20.56063,10,0,0
"Loddy Lo",140,"2CoFxvhk2uGUv2ZpQBtRKq",0.66,0.642,5,-7.109,1,0.0407,0.139,0,0.0652,0.943,174.249,131133,4,43.49126,6,1,0
